camera,age,ram,cpu_score,slot_sd,sims,price
54,1,6,98,0,1,12765
101,3,4,43,0,2,28354
197,2,6,67,0,2,31929
151,1,8,47,0,1,36820
183,2,12,41,0,1,54040
92,3,6,80,0,2,37523
46,3,4,100,1,1,13552
107,0,6,85,1,2,8627
40,1,16,61,1,1,19989
108,2,4,80,0,2,21780
30,0,8,95,0,1,14589
17,1,12,94,1,1,42812
76,0,6,55,0,2,36128
107,3,4,68,0,1,53939
41,1,16,88,0,1,59493
187,0,4,87,0,2,46652
145,0,16,69,0,1,35790
154,2,8,51,1,1,48953
193,0,12,74,1,1,8249
103,1,8,50,1,2,27309
8,1,6,85,1,2,62195
76,2,4,89,1,2,58126
11,1,16,60,0,1,33901
23,3,16,60,0,1,31576
31,1,4,44,0,1,39508
87,1,4,87,0,1,17175
9,0,6,59,1,2,33464
135,0,8,76,1,1,68281
167,1,16,42,1,1,24260
91,2,6,83,0,1,67461
159,0,8,72,1,2,43440
147,2,6,92,0,1,37546
185,1,16,100,1,1,48047
170,1,4,48,1,1,64683
131,3,4,100,0,1,66670
40,0,8,48,0,1,49430
168,1,12,43,1,2,9987
196,3,8,74,1,1,57242
186,0,12,56,0,1,33105
178,1,6,73,1,1,20948
108,1,6,63,1,1,61211
19,0,16,71,0,1,21026
74,0,12,40,1,1,10773
72,0,16,47,0,1,53927
168,1,4,84,1,1,17878
175,1,12,62,0,1,65535
81,3,8,86,1,1,50946
50,2,4,79,0,2,68967
51,0,4,51,1,2,64561
36,1,8,93,0,2,18377
148,1,4,51,1,2,61592
19,0,12,85,1,1,15347
102,2,16,86,1,2,41776
53,0,4,54,1,2,11783
137,2,12,80,1,1,63798
42,1,6,58,1,2,12298
88,2,12,65,1,2,12668
97,3,16,91,1,1,28671
15,1,12,68,1,1,42820
100,3,8,61,0,1,63161
161,0,16,79,0,2,68652
97,0,6,60,1,2,42484
169,0,8,90,0,1,41078
122,2,12,77,1,1,55159
112,1,16,59,1,2,28922
142,0,6,96,0,1,42028
65,0,8,68,1,2,53925
121,1,6,90,1,1,28316
82,0,12,43,0,1,19460
164,3,6,94,0,2,24968
127,1,4,46,1,1,38266
171,1,8,67,0,1,68143
28,1,6,67,0,1,38209
171,3,12,43,1,2,32000
145,1,12,61,0,1,65703
108,3,6,51,0,1,22011
159,1,12,84,1,1,10866
199,2,16,42,0,1,55133
184,0,16,61,0,1,13898
106,2,16,83,1,1,26395
43,0,4,41,1,2,47019
103,3,6,63,1,2,45707
159,2,4,73,0,1,12006
158,1,12,66,1,2,42393
197,0,4,94,1,2,18956
44,0,12,80,0,1,58042
19,2,12,40,1,2,38663
120,3,8,47,1,2,14078
190,2,16,62,1,2,37631
20,3,12,77,1,2,38140
30,3,8,45,0,2,64188
106,0,16,61,1,2,49691
112,2,12,64,1,2,11961
37,2,12,57,0,2,37277
24,3,4,56,1,1,59656
120,2,4,100,0,1,49574
69,1,16,51,0,2,60958
91,1,12,45,0,2,39417
119,2,6,65,1,1,30484
93,2,4,66,0,2,26103
148,3,16,47,0,2,37345
194,1,12,58,0,1,54326
26,1,12,99,1,1,47454
184,0,6,81,1,1,9587
107,3,16,40,1,2,64152
147,0,12,96,1,2,50571
196,1,4,68,1,1,58048
154,3,6,84,1,1,62710
83,2,16,88,1,2,65621
16,3,6,74,0,1,29031
35,2,4,79,0,2,34212
135,2,16,53,0,2,18350
59,3,6,74,0,1,26816
90,2,8,87,1,1,28288
118,0,4,84,0,2,37432
151,1,4,59,0,1,52222
124,2,4,95,0,1,56617
76,0,8,88,0,1,14837
106,2,8,52,1,1,42217
147,1,12,100,1,2,28884
32,0,6,77,1,2,13454
187,1,12,88,0,2,17424
130,1,6,85,1,2,44885
60,0,8,88,0,1,49637
158,0,8,47,1,1,51618
151,0,12,82,1,2,26412
64,3,16,59,1,2,55111
46,0,12,99,1,1,47613
116,0,6,72,1,2,28142
188,0,12,65,0,2,63056
49,0,4,78,1,1,45392
193,2,6,60,0,2,67381
174,3,6,92,0,1,67993
149,1,16,88,0,1,16848
129,0,8,81,0,2,57317
140,2,6,82,0,1,21136
170,2,8,93,1,2,61743
82,2,12,80,1,1,8589
153,1,4,48,1,2,28908
83,0,16,63,1,2,59973
16,3,8,76,0,2,69602
81,3,6,88,1,1,14509
193,2,8,80,1,1,48461
152,1,6,56,0,2,50222
14,1,8,63,0,1,57223
181,1,6,60,1,2,52476
148,3,12,90,1,2,53710
175,2,6,98,0,1,60732
177,0,6,78,1,2,65114
144,3,4,94,1,1,57420
185,2,6,80,1,2,17968
34,2,4,78,1,1,10462
129,0,16,52,0,2,17460
12,0,4,50,0,2,41783
36,0,12,85,0,1,68066
172,1,4,58,1,2,17275
173,0,16,50,1,2,36677
90,2,12,52,1,1,21269
143,0,8,85,1,2,65136
116,2,8,84,1,1,8406
72,3,4,40,0,2,15384
93,1,4,79,1,1,63201
152,3,16,83,1,2,30553
78,3,16,58,0,2,32366
52,2,6,51,1,2,52036
139,3,16,47,0,1,25369
43,2,6,47,0,1,19795
77,0,12,100,0,1,12485
166,0,4,92,0,1,49669
26,2,12,84,0,2,10618
196,0,16,51,1,2,38143
115,1,12,100,0,1,37425
189,3,12,87,0,1,30673
174,1,12,72,1,1,17603
98,3,16,84,1,2,47696
97,0,12,65,0,1,13368
26,1,6,78,1,1,12621
46,0,16,67,1,2,66829
133,3,12,97,0,2,68294
180,2,16,44,0,1,22719
148,2,8,47,1,2,37227
133,1,6,64,0,1,51894
65,0,12,66,0,2,15566
155,0,8,85,1,1,20306
68,1,8,62,0,1,61822
134,2,16,69,0,1,32042
112,3,8,84,0,1,23086
174,1,6,86,0,2,25387
8,3,6,62,0,2,35042
138,2,4,88,1,2,31888
99,0,6,86,1,2,59618
197,2,8,59,0,1,34514
198,1,6,57,1,1,26323
120,0,16,57,0,2,26019
160,1,4,41,0,2,17890
63,1,8,43,0,2,48863
168,2,4,69,0,2,63417
173,1,8,72,0,2,53487
124,2,16,75,1,1,18283
141,0,4,57,1,1,26279
65,2,12,76,0,1,54999
51,0,8,58,1,2,30908
180,2,12,86,0,2,69584
167,3,4,67,1,2,68742
180,3,12,79,0,2,55466
68,1,12,59,1,1,58225
54,2,4,88,0,1,45952
156,2,16,72,0,2,43170
87,0,12,51,1,1,45663
125,1,12,97,1,1,64483
171,2,16,90,0,2,52172
154,1,12,54,1,2,69381
27,3,12,80,0,2,55929
192,2,12,78,1,2,17343
153,2,6,41,1,2,18637
54,1,16,68,0,2,42724
56,2,12,80,1,1,47791
21,1,16,49,1,1,37134
150,2,8,41,0,2,54830
166,0,8,90,1,1,55101
8,1,12,50,0,2,11907
124,2,16,52,0,2,41575
61,3,16,49,0,2,65530
125,2,16,53,0,2,54799
10,3,6,57,0,1,12827
151,3,8,90,1,2,38607
192,0,16,93,0,1,21699
19,1,16,48,0,2,45292
81,2,6,96,1,2,55961
23,0,6,78,1,2,33883
109,2,16,67,1,1,56991
159,3,4,42,0,2,59436
163,1,16,59,0,2,13313
124,2,16,45,0,2,21598
15,2,6,66,1,1,53826
129,3,6,92,0,1,57909
99,2,16,41,1,1,36807
171,2,16,68,0,2,12887
97,3,16,77,1,1,11854
143,0,6,42,0,2,53226
193,3,16,55,0,1,67550
67,0,16,69,0,1,22536
185,1,12,79,1,2,11558
35,0,4,41,1,1,17772
108,0,8,56,0,2,58113
48,1,4,80,0,2,60999
199,0,12,51,0,1,63878
162,3,8,74,1,2,44343
198,0,16,82,0,2,66219
152,1,12,40,0,1,43186
168,3,16,94,0,1,44966
164,1,6,84,0,2,41769
148,1,12,54,1,1,62396
53,2,6,65,1,2,68728
42,2,12,76,0,2,47887
141,1,12,60,0,1,61218
89,1,6,88,1,1,27229
122,1,8,70,1,1,17673
54,2,4,64,0,1,35877
160,2,16,62,1,2,66001
17,0,12,63,1,2,39601
63,0,16,96,0,1,46084
37,1,6,77,1,1,24244
116,3,16,67,1,2,35356
12,3,6,60,0,2,24806
126,2,16,93,0,2,31099
40,2,4,82,1,2,52641
125,2,4,57,0,1,45034
72,1,4,75,1,2,48317
153,3,4,74,0,2,63468
184,0,4,84,1,1,27094
18,1,4,94,0,2,65796
92,0,6,48,1,2,18589
33,0,12,92,1,1,65221
70,1,16,77,1,1,67319
93,0,4,97,0,1,9657
66,3,6,69,0,2,40764
34,0,6,99,1,2,59693
184,3,6,83,1,1,47531
168,3,12,73,0,1,60227
105,3,16,71,0,2,11164
112,2,12,42,0,1,35542
106,0,8,42,0,1,26437
136,1,6,67,0,1,49247
156,1,8,83,0,2,46505
62,0,4,54,1,2,27601
13,2,4,80,0,2,36430
102,2,12,62,1,2,58599
140,3,16,79,0,2,14009
109,0,8,50,0,2,57759
10,0,16,87,1,1,12552
188,1,12,71,1,2,58916
30,0,4,97,0,2,17417
60,2,16,98,1,1,66579
172,0,16,96,1,2,49989
90,1,4,93,1,2,10671
152,3,8,75,1,1,14519
92,1,4,99,0,1,44730
85,1,16,72,1,1,20734
117,3,8,63,0,2,53890
8,1,8,78,0,1,60329
58,1,4,73,0,2,11722
180,0,16,95,0,2,12906
11,0,12,67,1,2,38096
197,3,16,76,1,2,48031
200,0,6,46,0,1,21699
120,0,12,43,0,1,29438
39,1,8,76,0,2,66819
41,2,12,95,0,1,51856
99,0,8,40,1,2,41576
102,2,8,40,0,2,49938
79,0,12,86,1,2,57028
46,0,8,59,0,1,67807
161,3,8,58,0,2,57877
169,3,6,68,0,2,40247
189,3,16,49,0,1,51461
125,2,16,99,1,1,35938
10,1,6,57,1,1,48469
130,0,12,67,1,1,25600
57,0,4,74,0,2,28435
19,0,4,82,0,1,26581
200,2,4,86,1,2,22191
61,3,6,70,1,1,27190
140,1,6,66,0,1,66122
64,2,8,50,0,1,58124
152,3,4,88,1,1,35386
119,2,12,88,0,1,39721
54,1,12,77,0,1,62786
158,3,4,44,1,2,21704
92,2,4,47,0,1,64635
149,1,4,73,1,1,10123
73,0,6,87,0,1,33174
82,1,6,91,1,1,52301
186,0,6,95,0,2,57376
110,2,16,51,1,1,55216
173,3,12,77,1,1,22586
199,3,12,40,1,1,39976
45,2,8,70,1,1,33416
57,3,6,43,0,2,9814
105,3,16,88,0,1,21001
89,0,16,84,1,2,58258
37,2,12,89,0,1,24508
86,1,6,44,0,2,27630
98,0,8,69,0,2,21380
186,2,6,95,0,1,56174
198,0,4,63,0,1,43699
59,1,6,98,1,2,54335
173,1,4,42,1,2,54806
86,2,4,50,1,1,20317
37,1,8,84,1,2,43739
113,0,12,43,0,2,42785
58,1,6,65,0,2,39980
88,0,4,66,1,1,31799
140,0,6,85,0,2,43183
36,1,12,93,0,2,37166
139,2,12,82,1,2,27480
145,3,16,66,0,1,9609
191,1,12,81,1,1,8717
152,0,8,90,1,2,27945
81,0,4,89,0,1,33592
24,1,16,45,0,2,36141
91,2,8,98,1,1,38009
76,2,6,100,1,1,53430
41,0,4,54,0,2,14782
13,0,12,92,1,1,34536
60,2,4,69,1,1,41816
133,3,6,81,1,1,33933
50,1,16,76,0,2,19618
122,0,16,97,1,1,16307
118,0,16,100,0,1,34671
158,2,12,76,1,2,48673
190,1,8,81,0,1,50761
87,2,8,99,1,1,18338
102,1,4,76,0,1,46346
125,1,12,74,0,1,54602
151,1,16,62,0,1,58772
15,0,16,45,1,2,14548
139,3,6,43,1,2,48149
111,2,6,57,1,1,29164
139,3,16,99,0,1,35526
191,2,16,48,1,1,39222
32,1,12,88,0,2,28176
103,0,8,68,1,2,10941
162,3,6,52,0,1,13695
100,0,8,98,0,1,47169
167,2,12,86,0,2,55947
185,0,16,91,1,1,55224
68,0,8,56,1,2,53865
129,3,16,84,1,2,33553
58,1,16,71,0,1,46965
154,0,4,87,0,2,68410
28,1,8,61,1,1,46218
12,2,8,43,1,1,33359
99,0,16,44,1,1,32816
177,3,12,76,0,1,63026
68,2,4,80,0,1,58705
29,2,16,88,0,1,69922
156,3,6,52,0,2,58164
77,0,6,73,0,2,16378
8,0,4,84,1,2,9881
140,2,12,61,0,2,47567
19,0,16,92,0,1,55365
97,1,8,98,0,2,21675
53,3,4,62,0,2,12586
41,1,12,90,0,2,33006
184,0,8,42,1,1,49198
85,2,6,81,0,2,30831
52,3,6,73,0,1,43113
162,0,8,71,0,2,24459
80,0,4,84,1,1,40443
33,2,6,90,1,1,50316
54,2,16,97,1,2,38595
128,1,8,88,0,1,13877
63,3,8,60,1,1,47553
101,3,6,85,0,2,56601
114,2,4,83,0,2,12922
70,1,16,60,1,2,65242
55,3,4,83,0,1,59482
68,2,12,50,0,1,12686
88,0,12,78,0,1,40766
33,3,6,43,1,2,22407
43,1,6,90,0,1,40006
8,1,6,40,0,1,39422
15,1,12,67,1,1,59054
120,0,4,63,0,1,20205
106,3,4,100,0,1,29054
187,3,6,74,1,1,31527
54,0,16,52,0,1,53947
134,3,4,86,0,2,26443
63,0,12,73,0,2,24524
21,0,8,50,0,2,58941
35,0,8,75,0,1,36202
85,1,8,90,1,1,8016
137,3,16,100,1,2,54142
116,0,6,56,1,1,69692
161,3,12,74,1,2,24848
21,1,16,99,0,1,28855
194,0,12,57,0,1,26211
63,2,12,79,0,2,68372
122,1,6,61,0,2,33095
14,2,8,96,0,2,46724
10,3,6,63,1,2,57241
118,3,16,97,1,2,45583
158,1,16,58,0,1,60003
114,3,16,76,0,1,10843
25,2,6,78,0,1,37301
45,0,12,60,1,2,34460
122,0,12,47,0,2,39918
22,0,4,67,0,2,36747
199,1,16,44,0,2,23972
126,3,12,56,1,2,66269
35,2,4,76,0,2,36310
46,3,12,75,1,1,30927
192,3,16,93,1,1,63053
24,3,8,58,1,1,58121
93,0,16,66,1,1,9094
133,2,6,92,1,1,46892
51,2,12,73,1,2,64499
32,3,12,50,0,2,60347
152,0,6,93,0,2,42172
20,0,6,84,0,2,68708
32,2,8,86,1,2,31324
75,0,12,51,0,2,28674
145,0,12,93,1,1,11982
74,0,8,60,1,2,53283
116,1,4,93,1,2,23790
153,3,8,50,0,2,20205
118,2,16,78,1,2,62707
118,2,12,67,1,1,32338
41,1,6,44,0,1,20748
118,3,16,56,0,2,29097
15,2,12,95,1,1,11092
175,0,8,59,1,1,61311
120,2,16,80,0,2,30692
90,0,12,85,0,2,67418
49,1,4,97,0,2,31862
176,0,4,51,1,2,32860
108,2,6,45,0,2,21971
13,2,12,56,0,1,22616
187,2,4,90,0,2,12933
33,1,8,58,1,2,12926
71,1,12,65,0,2,33763
194,3,8,87,0,1,11969
191,2,8,83,0,2,43733
66,0,4,83,0,2,12319
116,1,12,91,0,2,49743
128,2,16,71,1,1,47876
40,2,4,45,1,2,49909
188,1,4,94,1,2,28323
157,3,12,97,0,2,24428
28,1,12,75,1,1,42578
77,1,8,77,1,2,28950
119,0,12,50,1,2,51041
11,0,8,72,0,2,68842
101,3,4,63,0,1,49789
82,2,6,62,1,2,26293
197,1,16,54,1,2,14364
69,3,4,66,0,2,43349
101,0,12,50,0,1,8691
102,1,16,96,1,1,69363
159,2,6,90,0,2,38062
